animal.tag;substance;random;noisywinstay;dual;fictitious;hybrid;forgetful;Qd;Qd+fictitious;Qd+hybrid;bd;bd+fictitious
900110000217735;alcohol;1140.2479518;1124.5610158;-7.03831380000003;932.6312608;-16.3466699;2.00014210000001;-3.07649220000002;1017.2898768;-15.7639922;2.00000249999999;934.6313168
900110000217736;saccharin;35.9742030000002;24.8282650000001;0.528066000000308;-2.09680299999991;-8.51598199999989;0.0281290000002627;2.00000300000011;-0.158716999999797;-83.1936109999997;1.13394700000026;-0.215508999999656
900110000217737;saccharin;500.890263;478.564956;-24.137831;126.373157;-39.8663859999999;1.15616900000009;-15.359453;128.373918;-37.8301039999999;2.00000999999997;128.373178
900110000217738;alcohol;216.457288;211.5758928;-1.51264309999999;44.0711461;-3.74271839999994;1.90210009999998;2.00000020000004;46.2668133;-1.50118880000002;2.00001540000005;46.0914
900110000217739;saccharin;526.1092448;498.5846688;-32.2514555;196.1946807;-21.9926544;-1.85698809999997;0.0938186999999289;191.6457961;-19.9925564;2.00001399999996;198.1946955
900110000217740;saccharin;238.218893;225.633995;-8.56264600000009;87.849252;8.05221699999993;1.97946400000001;2.00000099999988;80.232127;10.0521389999999;2.00000599999998;89.84926
900110000324261;alcohol+saccharin;87.2641989999997;56.811467;-1.37685600000032;-3.674262;-5.15750800000023;-1.79308500000025;-11.488143;-4.43423600000006;-28.7081950000002;1.8470699999998;-1.70370300000013
900110000324262;alcohol+saccharin;50.532872;38.1595139999999;0.814135000000078;-3.09647199999995;-14.781283;-0.848848000000089;-11.762661;-1.09647300000006;-12.866908;1.45551599999999;-1.10537900000008
900110000324263;alcohol+saccharin;128.641489;123.016697;1.85811700000022;4.94147800000019;-3.03843199999983;1.85754300000008;-0.373251999999866;55.1128429999999;14.3803630000002;2.00609800000029;6.95636400000012
900110000324264;alcohol+saccharin;132.658754;105.109236;-1.77270199999975;-24.7332099999999;-81.9379759999997;-25.7393320000001;-67.90479;-22.7332000000001;-83.5392419999998;-2.3930049999999;-24.721153
900110000324265;alcohol+saccharin;49.8509909999998;39.8352599999998;-3.10809400000016;-2.60955400000012;-9.91851100000031;-0.365509000000202;-15.8272740000002;-6.22704199999998;-11.0906990000003;-1.331999;-3.40620900000022
900110000324266;alcohol+saccharin;5.32866600000034;6.69816399999991;1.94409500000029;1.04042699999991;-14.1919290000001;1.99999700000035;11.3286660000003;3.04042500000014;-33.0506599999999;1.62911299999996;2.78721900000028
